location_id,latitude,longitude,zone_area_km2,pvout_level1_area_km2,pvout_level1_data_area_km2,pvout_level1_mean,pvout_level1_twh_per_mw_km2,pvout_level1_twh_y,pvout_level2_area_km2,pvout_level2_data_area_km2,pvout_level2_mean,pvout_level2_twh_per_mw_km2,pvout_level2_twh_y,assumed_mw_per_km2
1945,-23.882116,-49.124077,37647.263348,28090.797700,28090.797700,4.250802,43.584077,1307.522321,12974.704297,12974.704297,4.207705,19.926709,597.801270,30.000000
1427,-19.637423,-48.695788,28267.699405,28191.316266,28191.316266,4.577479,47.101478,1413.044338,8273.559843,8273.559843,4.574059,13.812968,414.389041,30.000000
4604,-21.177831,-51.377500,25405.840284,24388.876862,24388.876862,4.551978,40.521437,1215.643124,4753.241694,4753.241694,4.547718,7.889987,236.699622,30.000000
239,-21.991931,-50.251711,36766.565816,35949.890720,35949.890720,4.494730,58.978541,1769.356238,7790.891846,7790.891846,4.463080,12.691551,380.746538,30.000000
3738,-20.502795,-50.035384,28571.916287,28437.973438,28437.973438,4.576870,47.507273,1425.218196,3601.003975,3601.003975,4.569342,6.005790,180.173686,30.000000
1529,-19.794691,-51.708064,27713.575828,23211.319969,23211.319969,4.583746,38.834103,1165.023083,6825.306026,6825.306026,4.577292,11.403117,342.093508,30.000000
1384,-15.494068,-52.285732,24911.738944,20731.071875,20731.071875,4.568197,34.566824,1037.004730,12771.139825,12771.139825,4.551569,21.216983,636.509479,30.000000
3379,-14.781403,-53.750027,31653.507264,25075.655639,25075.655639,4.513736,41.312487,1239.374602,14413.246778,14413.246778,4.519874,23.778314,713.349428,30.000000
1819,-17.701010,-52.904978,28247.033969,24785.748771,24785.748771,4.533105,41.010084,1230.302517,13548.491350,13548.491350,4.524482,22.374464,671.233926,30.000000
4467,-16.395509,-53.335995,26464.805892,23809.039715,23809.039715,4.531018,39.375902,1181.277058,17050.294316,17050.294316,4.523104,28.148893,844.466794,30.000000
3471,-19.247000,-53.263980,34572.195514,20778.382830,20778.382830,4.540007,34.431909,1032.957271,9996.797797,9996.797797,4.537537,16.556707,496.701213,30.000000
282,-16.599559,-54.952963,37759.336949,29084.980763,29084.980763,4.411284,46.830269,1404.908059,20826.467501,20826.467501,4.403586,33.474565,1004.236957,30.000000
3061,-3.589325,-52.116579,39291.897386,17117.589383,17117.589383,4.069597,25.426516,762.795488,17103.012609,17103.012609,4.069587,25.404802,762.144048,30.000000
1047,-0.780076,-55.686819,33765.100397,2543.259090,2543.259090,4.273974,3.967486,119.024568,2284.018561,2284.018561,4.274181,3.563243,106.897282,30.000000
2889,0.931114,-56.142119,33023.357588,114.169223,114.169223,4.226943,0.176144,5.284325,103.007289,103.007289,4.227695,0.158951,4.768544,30.000000
