location_id,latitude,longitude,population_2020,access_pct,people_no_access
3035,23.209884,111.241251,8596758.044372559,,0
4705,21.801075,110.880721,10213567.474700928,,0
2380,20.713591,110.099635,8945494.629950315,,0
921,-22.874893,121.144843,925.3566180542113,,0
3256,-21.336791,120.602434,900.1202626377344,,0
2175,-21.420863,122.76705,335.1179272257723,,0
3063,-23.083973,122.969672,242.62688656449384,,0
1553,-25.273324,121.764612,202.2007589210016,,0
4664,-24.411174,122.859651,120.68865279108286,,0
4439,-23.373181,130.534611,192.88869953225367,,0
1391,-21.948985,130.671432,256.1199858383188,,0
3699,-22.838147,131.996003,1947.8442565780133,,0
2454,-23.128074,129.081566,476.60596505809553,,0
4095,-24.493718,129.532323,363.5015839135158,,0
3205,-25.995482,132.495434,1157.1103634447793,,0
303,-24.488773,131.502579,1572.9693624752108,,0
1766,-26.672948,130.760987,634.6334221341176,,0
886,-27.64136,133.133714,735.9125783283962,,0
2440,-23.718468,133.421298,27583.41532876133,,0
1650,-26.383633,125.79646,219.76524735754356,,0
3556,-25.714005,124.09917,137.629306005314,,0
3803,-27.83387,125.416378,29.98397020506673,,0
3934,-24.83374,125.930245,30.04467442817986,,0
4669,-27.490489,126.865588,23.645626675337553,,0
4205,-26.262103,127.392347,430.55655740946526,,0
789,-23.775998,117.525285,2267.775037176907,,0
2473,-22.529794,119.049399,9391.160811938344,,0
2255,-24.586706,119.499684,280.949106015265,,0
2100,-25.843347,117.718536,256.88040451332927,,0
3542,-22.590129,116.44093,791.3707400485873,,0
4722,-21.818496,117.735069,5131.411114305258,,0
2584,-24.256528,115.590553,202.90335595980287,,0
4,-1.152106,135.888362,0.0,,0
4134,-2.668447,136.273737,223103.44758348053,,0
2126,-2.05241,137.720437,84628.00910585372,,0
1248,-3.2053,133.51296,196142.57174324244,,0
1862,-0.974917,133.680708,434981.61641406454,,0
3040,7.203417,126.399749,4026978.171399124,,0
1759,8.867107,126.16683,2695738.8156552315,,0
1278,11.113847,125.72588,2540517.25057745,,0
1372,-2.371242,139.774747,530968.6734617949,,0
176,-2.15605,146.779992,0.0,,0
2165,23.886872,100.20444,3505373.7364501953,,0
2444,25.771161,100.806759,4608906.5990448,,0
4111,23.011365,105.211275,3502996.4729003906,53.38441022237142,1632942
881,24.352286,102.35947,9971632.352600096,,0
4363,25.742794,104.666395,6954595.1111450195,,0
2662,24.297132,104.334229,4898096.513671875,,0
3039,26.038785,102.651322,5025875.123474121,,0
3470,28.07097,108.31063,4747132.208953857,,0
756,26.323039,108.380403,4164197.3391036983,,0
2249,26.02012,106.161577,7615109.575317383,,0
138,27.189953,104.373862,10367960.48425293,,0
2131,28.861702,103.002199,5940032.788741693,,0
4177,27.37187,106.615646,9560488.67010498,,0
2267,31.007815,105.897057,18466888.583251953,,0
3650,29.917901,108.223576,6590734.58392334,,0
465,31.427018,108.47382,8039151.222854614,,0
1279,29.014407,106.731696,15581837.437713625,,0
1456,32.97757,105.85232,3541126.021489024,,0
3057,33.02184,107.862541,4900242.74219209,,0
3225,29.642341,104.873894,18659663.21850586,,0
642,31.183876,103.587421,23328194.439146973,,0
3893,24.11825,114.848632,8255064.044403077,,0
2324,22.777344,114.197473,62405971.132493496,100.0,0
867,24.242558,112.775952,12103592.402534485,,0
2852,25.980229,112.8742,11248230.32060814,,0
1511,25.578311,115.144586,9471702.470031738,,0
136,23.042775,116.305202,18149476.961875916,,0
3198,25.753337,116.952729,5390912.648460388,,0
3919,15.442491,2.529151,329786.35203409195,,0
352,20.652552,6.589651,34573.22837007046,,0
3791,17.828316,-4.450183,11536.216794967651,,0
3025,20.718727,-4.577604,8044.0080416202545,,0
1684,19.164771,-5.363401,5695.924739122391,,0
3135,16.7618,-10.107974,209608.6516839862,23.496772448221844,160357
1671,15.322078,-10.959144,1128136.2829437256,35.947552336586845,722599
3873,16.49528,-11.904831,437140.00769233704,22.707301020622253,337877
4763,16.386993,-8.811254,230188.78517627716,35.9358115366527,147469
410,18.082781,-11.266879,48199.10706949234,24.16625738143921,36551
1332,17.638035,-8.387454,9126.14408880472,0.0,9126
2754,19.258792,-9.236054,2465.5017359256744,,0
4743,5.991052,-77.189233,309184.99636384845,,0
13,7.37316,-77.852456,136178.883420825,,0
2672,6.775547,-76.143032,6146118.748060226,100.0,0
3587,5.185762,-75.222011,4269717.310287476,19.733959197998047,3427133
1065,7.505548,-80.92073,409646.8019151688,100.0,0
2569,2.942901,-76.788368,5977152.071750402,80.34600067138672,1174749
1233,4.778005,-76.712111,751258.9752967356,,0
4293,3.844226,-75.575953,3361095.06980896,100.0,0
502,2.27853,-78.534196,398884.9320235253,,0
1699,0.687238,-76.733724,1844080.5877771375,100.0,0
778,2.594907,-74.810601,939728.3259963989,,0
3915,1.112389,-75.219099,710553.4873065948,,0
4861,7.092565,-70.636969,357076.3773984909,,0
332,3.969899,-71.419849,88826.95669746399,,0
2425,3.814057,-69.507683,46297.65843677521,,0
3437,5.444082,-70.56727,126527.94628810884,,0
1932,4.623576,-73.532666,15242157.558868408,94.94429321289063,770599
4214,2.580625,-71.651272,111153.1044178009,,0
3122,3.015869,-73.121805,312851.9930076599,,0
3207,2.310769,-70.148398,57454.07753485442,,0
4391,7.827384,-68.239263,255072.3392829895,,0
3943,6.072908,-67.615401,182198.4737253189,,0
1656,7.383905,-66.8195,313685.47700214386,,0
2760,7.885227,-69.617867,559556.7640838623,,0
162,9.296311,-68.529111,1630003.5654767752,,0
993,6.187743,-69.111937,69056.02339553833,,0
1828,9.679558,-66.111222,1696241.6003751757,,0
3506,-13.920711,-52.12764,84822.11278795265,,0
4457,-6.139934,-55.810424,9867.10741598968,,0
1651,-4.972443,-55.119369,68163.88400791679,,0
1013,-7.469256,-55.059465,34465.92498147664,,0
4251,-4.208214,-53.947016,87969.19965736824,,0
2650,-26.729349,-58.190439,852508.6327724458,95.69276343451605,36720
3022,-28.460539,-59.399225,849598.6642179489,100.0,0
574,-26.835214,-60.207837,410271.7850627899,53.5862922668457,190422
4932,-27.396874,-56.971573,219557.07682361943,89.31567668914795,23458
